"X","G_2024","AB_2024","PA_2024","H_2024","X1B_2024","X2B_2024","X3B_2024","HR_2024","R_2024","RBI_2024","BB_2024","IBB_2024","SO_2024","HBP_2024","SF_2024","SH_2024","GDP_2024","SB_2024","CS_2024","AVG_2024","GB_2024","FB_2024","LD_2024","IFFB_2024","Pitches_2024","Balls_2024","Strikes_2024","IFH_2024","BU_2024","BUH_2024","BB_pct_2024","K_pct_2024","BB_K_2024","OBP_2024","SLG_2024","OPS_2024","ISO_2024","BABIP_2024","GB_FB_2024","LD_pct_2024","GB_pct_2024","FB_pct_2024","IFFB_pct_2024","HR_FB_2024","IFH_pct_2024","BUH_pct_2024","TTO_pct_2024","wOBA_2024","wRAA_2024","wRC_2024","WAR_2024","BaseRunning_2024","Spd_2024","wRC_plus_2024","wBsR_2024","WPA_2024","Clutch_2024","O.Swing_pct_2024","Z.Swing_pct_2024","Swing_pct_2024","O.Contact_pct_2024","Z.Contact_pct_2024","Contact_pct_2024","Zone_pct_2024","F.Strike_pct_2024","SwStr_pct_2024","CStr_pct_2024","C.SwStr_pct_2024","BB_pct_plus_2024","K_pct_plus_2024","OBP_plus_2024","SLG_plus_2024","ISO_plus_2024","BABIP_plus_2024","LD_pct_plus_2024","GB_pct_plus_2024","FB_pct_plus_2024","HRFB_pct_plus_2024","xwOBA_2024","xAVG_2024","xSLG_2024","XBR_2024","EV_2024","LA_2024","Barrels_2024","Barrel_pct_2024","maxEV_2024","HardHit_2024","HardHit_pct_2024"
"1","G_2023"," 0.519044061"," 0.55788757"," 0.55984229"," 0.540982174"," 0.523589921"," 0.500436659"," 0.1779104096"," 4.797686e-01"," 0.528231254"," 0.531129648"," 0.4959325235"," 0.2798875369"," 0.454452405"," 0.3188011114"," 0.358921411","-0.069402869"," 0.4295083307"," 0.2025548830"," 0.1826536994"," 0.217981232"," 0.533904340"," 0.560176759"," 0.530261696"," 0.456098122"," 0.55888405"," 0.551970129"," 0.55796993"," 0.419199989","-0.076444434","-0.051960193"," 0.0618013105","-0.2774624280"," 0.142566403"," 0.209154651"," 0.2570703756"," 0.2568871411"," 0.229806272"," 0.001244884","-1.316821e-01"," 0.0006302418","-0.0749981249"," 0.07147157"," 2.299757e-02"," 0.223385140","-0.0453143961","-0.051336614","-0.161265685"," 2.514068e-01"," 0.232373046"," 0.51973837"," 0.344881779","-0.0302599864"," 0.0119167098"," 0.2506051394","-0.0208895915"," 0.181400450","-0.021580286","-0.0343385918"," 0.064034401","-1.994905e-03"," 0.1815140589"," 0.170629224"," 0.195843772","-0.048240021","-0.126616360","-0.17206027","-0.050706938","-0.231949777"," 0.060118949","-0.277516388"," 0.206401886"," 0.2562122667"," 0.229418956","-0.001421847","-0.0005015644","-0.076027351"," 0.07545274"," 0.221384383"," 0.2981907930"," 0.283699932"," 0.298046570","-0.0292676347"," 0.213861800"," 0.0654767084"," 0.452518371"," 0.140888086"," 0.348850482"," 0.561463932"," 0.212707632"
"2","AB_2023"," 0.554502275"," 0.62452807"," 0.62521642"," 0.612416536"," 0.592405336"," 0.565738924"," 0.1995504230"," 5.454130e-01"," 0.595573229"," 0.597695614"," 0.5480272585"," 0.3275354770"," 0.503033272"," 0.3346985810"," 0.399312335","-0.116790860"," 0.4899464746"," 0.2222018060"," 0.1956529016"," 0.255606857"," 0.601537671"," 0.626633653"," 0.597803425"," 0.495420265"," 0.62177050"," 0.613288026"," 0.62121579"," 0.483191774","-0.120913177","-0.076597248"," 0.0567784098","-0.2893241143"," 0.143563719"," 0.234572577"," 0.2917175223"," 0.2905345796"," 0.255292299"," 0.033800563","-1.266321e-01"," 0.0077228369","-0.0683686017"," 0.06158429","-1.491373e-04"," 0.250465444","-0.0455024046","-0.064807422","-0.169088104"," 2.832018e-01"," 0.280393980"," 0.58872405"," 0.399443231","-0.0338157063"," 0.0014090646"," 0.2826470685","-0.0227614470"," 0.215236596","-0.027526288","-0.0053361606"," 0.075774534"," 1.671151e-02"," 0.1934108448"," 0.175463734"," 0.199421554","-0.085701058","-0.120925982","-0.16853014","-0.072390388","-0.249704955"," 0.055250671","-0.289376168"," 0.231835439"," 0.2908811072"," 0.254901221"," 0.031142289"," 0.0065471178","-0.069687055"," 0.06546703"," 0.248393216"," 0.3334697145"," 0.321575862"," 0.338467284","-0.0332238979"," 0.256084709"," 0.0444798700"," 0.522805064"," 0.171466621"," 0.401061809"," 0.638120576"," 0.256327777"
"3","PA_2023"," 0.556998580"," 0.62658457"," 0.62993744"," 0.614532211"," 0.590286070"," 0.570723746"," 0.1984092246"," 5.583703e-01"," 0.605247919"," 0.605688454"," 0.5738945038"," 0.3421562490"," 0.510409332"," 0.3438273637"," 0.401494457","-0.119240659"," 0.4855856067"," 0.2224591789"," 0.1917279050"," 0.254524536"," 0.598064427"," 0.630552813"," 0.598318931"," 0.497182874"," 0.62998881"," 0.626928641"," 0.62619072"," 0.477300955","-0.120668490","-0.072805217"," 0.0902559634","-0.2842191859"," 0.162858875"," 0.250826206"," 0.2996367937"," 0.3019133655"," 0.267573854"," 0.032861402","-1.369137e-01"," 0.0080756723","-0.0797971297"," 0.07233864"," 1.294179e-05"," 0.261759647","-0.0483782412","-0.059545643","-0.148982028"," 2.959601e-01"," 0.303113490"," 0.60135134"," 0.413969005","-0.0355665776","-0.0007810103"," 0.2957597934","-0.0223764435"," 0.234316479","-0.031643254","-0.0376911010"," 0.061448934","-1.313715e-02"," 0.1915333289"," 0.169912232"," 0.199924534","-0.081171288","-0.137123622","-0.17853304","-0.058285015","-0.246281960"," 0.088643226","-0.284273394"," 0.247920053"," 0.2986894311"," 0.267148237"," 0.029907375"," 0.0068028078","-0.081346095"," 0.07659381"," 0.259643705"," 0.3467695861"," 0.319833835"," 0.346827584","-0.0363308534"," 0.263599360"," 0.0569605564"," 0.535328042"," 0.184907446"," 0.404700367"," 0.642517868"," 0.262508508"
"4","H_2023"," 0.551463903"," 0.62838006"," 0.62847892"," 0.628401160"," 0.615946667"," 0.576552401"," 0.2146836954"," 5.348393e-01"," 0.602911085"," 0.598515227"," 0.5478059828"," 0.3582647090"," 0.476369976"," 0.3304737550"," 0.400613975","-0.126149530"," 0.4955519023"," 0.2367432646"," 0.1983917085"," 0.293527219"," 0.620073787"," 0.629988346"," 0.618794265"," 0.476774651"," 0.62171991"," 0.612290966"," 0.62171906"," 0.498528603","-0.126535518","-0.074743055"," 0.0561471609","-0.3274454776"," 0.172611330"," 0.265627294"," 0.3039445521"," 0.3102067409"," 0.247847624"," 0.063033292","-1.060602e-01"," 0.0236435875","-0.0503054593"," 0.03634120","-1.923588e-02"," 0.232373711","-0.0394550427","-0.058160340","-0.206361991"," 3.039234e-01"," 0.306090946"," 0.60142016"," 0.414224362","-0.0199485863"," 0.0216405236"," 0.3036872525","-0.0074279505"," 0.242103056","-0.035355526"," 0.0038874876"," 0.087203711"," 2.620995e-02"," 0.2273429843"," 0.203531255"," 0.234056287","-0.099244447","-0.124697948","-0.19540625","-0.086254741","-0.291795949"," 0.054707256","-0.327499339"," 0.263036933"," 0.3032453031"," 0.247499212"," 0.060697012"," 0.0224446577","-0.051605316"," 0.04020072"," 0.230602671"," 0.3512204902"," 0.357158225"," 0.348172136","-0.0249207100"," 0.259765482"," 0.0158299774"," 0.519934633"," 0.159013881"," 0.402035472"," 0.647653421"," 0.257523644"
"5","X1B_2023"," 0.510692102"," 0.58308708"," 0.57985147"," 0.588870961"," 0.601718832"," 0.528559950"," 0.1919940069"," 4.332280e-01"," 0.542212469"," 0.526423104"," 0.4759242696"," 0.2983083851"," 0.391549392"," 0.3001608514"," 0.371037905","-0.084875513"," 0.4749667236"," 0.2295219730"," 0.1943846924"," 0.293267724"," 0.610252308"," 0.574691856"," 0.598539315"," 0.422174825"," 0.56795593"," 0.551754784"," 0.57239170"," 0.484572176","-0.087729555","-0.044456374"," 0.0093435359","-0.3835547298"," 0.177798814"," 0.243232141"," 0.2440352995"," 0.2596367293"," 0.160577826"," 0.062408669","-4.410767e-02"," 0.0439400450"," 0.0111616681","-0.03261712","-2.879902e-02"," 0.147983932","-0.0434388882","-0.040204868","-0.293900963"," 2.563456e-01"," 0.236527128"," 0.53666564"," 0.359665197","-0.0097197244"," 0.0235799565"," 0.2566563754","-0.0024029815"," 0.182110217","-0.029442196"," 0.0152995740"," 0.059595343"," 2.938728e-02"," 0.2852042018"," 0.257759922"," 0.298522547","-0.053924343","-0.102060657","-0.24963391","-0.048794090","-0.311872614"," 0.008051373","-0.383612970"," 0.240762175"," 0.2432617382"," 0.160191362"," 0.060190905"," 0.0428248827"," 0.010296475","-0.02951530"," 0.146178119"," 0.2964503354"," 0.353677159"," 0.279997142","-0.0132210890"," 0.187322382","-0.0431057449"," 0.420324031"," 0.061227359"," 0.326907164"," 0.586662510"," 0.179347549"
"6","X2B_2023"," 0.545992993"," 0.61139906"," 0.61151557"," 0.605168135"," 0.581119548"," 0.572048583"," 0.2188709138"," 5.349577e-01"," 0.588141754"," 0.585881934"," 0.5353196214"," 0.3407970318"," 0.485380365"," 0.3158650330"," 0.380765753","-0.126651891"," 0.4743005706"," 0.2100119984"," 0.1801537588"," 0.281096458"," 0.585504599"," 0.622822714"," 0.585607483"," 0.481145676"," 0.60760046"," 0.599861273"," 0.60673682"," 0.476120950","-0.131748975","-0.085941139"," 0.0566097323","-0.2878859442"," 0.156187311"," 0.253544648"," 0.3173244248"," 0.3154802143"," 0.275654070"," 0.061694989","-1.456184e-01"," 0.0072606882","-0.0876888098"," 0.08030047","-6.521290e-03"," 0.239181978","-0.0303197086","-0.050279759","-0.166932223"," 3.067857e-01"," 0.295431496"," 0.58423497"," 0.394329457","-0.0210000062"," 0.0310573739"," 0.3041714346","-0.0240143850"," 0.243427389","-0.010056263","-0.0001657677"," 0.110778193"," 3.750984e-02"," 0.1904800743"," 0.187045807"," 0.204836718","-0.091784983","-0.111486704","-0.16568759","-0.108579503","-0.282588604"," 0.055379007","-0.287923252"," 0.251426805"," 0.3169368779"," 0.275445324"," 0.059825794"," 0.0062414812","-0.088622734"," 0.08365028"," 0.237896435"," 0.3416618064"," 0.334264660"," 0.347075601","-0.0118697214"," 0.268022072"," 0.0521046057"," 0.514294882"," 0.175451001"," 0.395410004"," 0.632857062"," 0.271204422"
"7","X3B_2023"," 0.315541217"," 0.35251625"," 0.35152753"," 0.361378590"," 0.347706470"," 0.315309562"," 0.4321620907"," 2.873261e-01"," 0.411310328"," 0.320675735"," 0.2793584609"," 0.1189949641"," 0.280925881"," 0.2410727163"," 0.211466045"," 0.048935586"," 0.0776696181"," 0.4247626849"," 0.3887537339"," 0.162350415"," 0.361598650"," 0.324879539"," 0.337148675"," 0.212872747"," 0.34449628"," 0.338521652"," 0.34493435"," 0.384748161"," 0.093066576"," 0.091095238","-0.0155952454","-0.1646018477"," 0.065158846"," 0.133479215"," 0.1627334245"," 0.1630052412"," 0.129237837"," 0.065945432","-7.726560e-04","-0.0099670497"," 0.0402181848","-0.03348767","-6.944240e-02"," 0.119464938"," 0.0432614490"," 0.045651379","-0.126394321"," 1.606835e-01"," 0.207958098"," 0.35098820"," 0.328464263"," 0.3322719690"," 0.3083542670"," 0.1483641387"," 0.2138087832"," 0.243150174"," 0.092188469"," 0.0016348276"," 0.043243785"," 1.496122e-02"," 0.1143134952"," 0.118734036"," 0.123808151","-0.027249474","-0.095879300","-0.10188007","-0.050788400","-0.157835499","-0.016798593","-0.164666323"," 0.130676735"," 0.1609310299"," 0.128267602"," 0.062774940","-0.0114113091"," 0.037909530","-0.02923028"," 0.115200329"," 0.1569705985"," 0.184635970"," 0.142057212"," 0.3351798072"," 0.101040671","-0.0827897925"," 0.267446547"," 0.041297478"," 0.172157368"," 0.349613011"," 0.090087417"
"8","HR_2023"," 0.494611299"," 0.57283920"," 0.58401446"," 0.559221345"," 0.482075830"," 0.536001977"," 0.1525543499"," 6.808022e-01"," 0.591437502"," 0.639447635"," 0.6081760414"," 0.4618686878"," 0.573462029"," 0.3188326437"," 0.379792995","-0.237773046"," 0.4466169524"," 0.1535318363"," 0.1114992101"," 0.204354105"," 0.467919734"," 0.601040519"," 0.504070841"," 0.491871375"," 0.59396693"," 0.608374683"," 0.58027464"," 0.373322374","-0.232694036","-0.159174531"," 0.1977756745","-0.0740497776"," 0.118090218"," 0.260984138"," 0.3794723338"," 0.3623482702"," 0.417581636"," 0.038718785","-2.388438e-01","-0.0291941219","-0.2053982747"," 0.21113853"," 1.551534e-02"," 0.421405710","-0.0341423527","-0.119149152"," 0.112713652"," 3.509057e-01"," 0.431062721"," 0.61710069"," 0.451024020","-0.1068399888","-0.0558264247"," 0.3537548567","-0.0421272295"," 0.332451571","-0.090091255","-0.0303951127"," 0.122008940","-5.972311e-03","-0.0003166561","-0.029332909","-0.027084750","-0.226077433","-0.164637998"," 0.01783281","-0.153657039","-0.133587748"," 0.196202625","-0.074082212"," 0.258640006"," 0.3791752445"," 0.417467092"," 0.036642257","-0.0303019357","-0.207782658"," 0.21630111"," 0.420429734"," 0.4240999221"," 0.269889322"," 0.459197460","-0.1313885350"," 0.404338908"," 0.1802220327"," 0.673006445"," 0.414085336"," 0.522874209"," 0.636856032"," 0.417486678"
"9","R_2023"," 0.552411272"," 0.62488096"," 0.63251585"," 0.619561577"," 0.584314205"," 0.580891920"," 0.2420559444"," 5.851571e-01"," 0.639979342"," 0.612145272"," 0.6113398681"," 0.3849351113"," 0.521337943"," 0.3607664229"," 0.395487076","-0.120606057"," 0.4404333738"," 0.2771493736"," 0.2376693579"," 0.274452260"," 0.584444409"," 0.631990772"," 0.594437295"," 0.483669181"," 0.63526051"," 0.641341429"," 0.62607079"," 0.490138747","-0.111076802","-0.058739854"," 0.1460697113","-0.2563161661"," 0.188520870"," 0.295913924"," 0.3391910543"," 0.3459998443"," 0.312021664"," 0.062869383","-1.483754e-01"," 0.0060676882","-0.1001278112"," 0.09278831","-2.037243e-02"," 0.294965389","-0.0273451886","-0.041928565","-0.095286587"," 3.414009e-01"," 0.369106509"," 0.62952803"," 0.473550704"," 0.0286505879"," 0.0724306261"," 0.3423694176"," 0.0193698462"," 0.294067552","-0.047932859","-0.0697883236"," 0.072915126","-3.741645e-02"," 0.1681553090"," 0.130986337"," 0.168204514","-0.115549500","-0.150093058","-0.15859911","-0.080112357","-0.246885779"," 0.144249263","-0.256378098"," 0.292708305"," 0.3381039067"," 0.311536012"," 0.059751572"," 0.0046107974","-0.102660995"," 0.09795149"," 0.292919368"," 0.3846401582"," 0.331152878"," 0.378419742"," 0.0280724495"," 0.289761687"," 0.0695826602"," 0.567861390"," 0.232830775"," 0.426203403"," 0.650987526"," 0.293133096"
"10","RBI_2023"," 0.550938303"," 0.62353937"," 0.62992649"," 0.613960763"," 0.568671566"," 0.578812610"," 0.1642537882"," 6.259499e-01"," 0.611373173"," 0.649852354"," 0.6031896348"," 0.4308891131"," 0.536786012"," 0.3398187051"," 0.417552561","-0.190642632"," 0.5108288039"," 0.1772442041"," 0.1386082857"," 0.259501882"," 0.563786386"," 0.647215695"," 0.583518126"," 0.517565311"," 0.63180716"," 0.634996256"," 0.62433894"," 0.438042473","-0.193797273","-0.130971431"," 0.1417237046","-0.2225069258"," 0.164964634"," 0.279331208"," 0.3576939950"," 0.3533223234"," 0.349001342"," 0.043356108","-1.957250e-01","-0.0099118155","-0.1462478323"," 0.14490332"," 3.092851e-03"," 0.331972870","-0.0448213535","-0.094790885","-0.056329454"," 3.442597e-01"," 0.370901948"," 0.62826402"," 0.435417004","-0.0992841947","-0.0443908805"," 0.3461245856","-0.0461863170"," 0.289812887","-0.051556785","-0.0209848278"," 0.115908444"," 7.996374e-03"," 0.1298384874"," 0.102265620"," 0.120871556","-0.178895516","-0.165253537","-0.10461652","-0.130036727","-0.239379598"," 0.140190192","-0.222549726"," 0.276906924"," 0.3572641830"," 0.348793667"," 0.041043965","-0.0111713377","-0.147800503"," 0.14950740"," 0.330582820"," 0.4043146430"," 0.325079014"," 0.418662893","-0.1158534927"," 0.334803618"," 0.1150713877"," 0.609942185"," 0.292130711"," 0.473668464"," 0.664006378"," 0.341462798"
"11","BB_2023"," 0.486713191"," 0.54401645"," 0.56694577"," 0.534822063"," 0.479359585"," 0.515053282"," 0.1600945460"," 5.840301e-01"," 0.587034962"," 0.575016158"," 0.6959498561"," 0.4137711394"," 0.497129036"," 0.2908038565"," 0.332233796","-0.149334799"," 0.3819179446"," 0.1790826167"," 0.1167845453"," 0.205395574"," 0.475910914"," 0.557159536"," 0.504243642"," 0.420610902"," 0.59604049"," 0.639050001"," 0.56560607"," 0.346602885","-0.123602353","-0.046316261"," 0.3548252331","-0.1783401054"," 0.286484935"," 0.337280567"," 0.3156922918"," 0.3438779256"," 0.323786918"," 0.031620423","-1.853304e-01"," 0.0086420761","-0.1469378863"," 0.13625818","-1.390917e-02"," 0.323696594","-0.0676960072","-0.009807399"," 0.058193372"," 3.492167e-01"," 0.440845551"," 0.60795338"," 0.466185893","-0.0525983281","-0.0220442990"," 0.3511459224","-0.0193759744"," 0.342697365","-0.072453549","-0.2954416039","-0.067268101","-2.580881e-01"," 0.1361688046"," 0.077192046"," 0.156105205","-0.040868616","-0.253810566","-0.21942410"," 0.064874211","-0.167347881"," 0.353013719","-0.178392807"," 0.334178915"," 0.3145312674"," 0.323338311"," 0.027730512"," 0.0071233612","-0.149294164"," 0.14162948"," 0.321878218"," 0.4006407908"," 0.258119416"," 0.366146001","-0.0658931321"," 0.309324486"," 0.1313285299"," 0.563367787"," 0.278036067"," 0.383379810"," 0.584762356"," 0.296081006"
"12","IBB_2023"," 0.285115615"," 0.34545909"," 0.35951983"," 0.394376505"," 0.330866212"," 0.378491363"," 0.1371435389"," 5.045000e-01"," 0.432090000"," 0.457245519"," 0.4461145455"," 0.6450935715"," 0.256164205"," 0.1133639471"," 0.219334759","-0.118182942"," 0.2812284577"," 0.2189721449"," 0.0846811132"," 0.236530954"," 0.298132909"," 0.385224198"," 0.365860340"," 0.197456828"," 0.36541948"," 0.387450241"," 0.34929694"," 0.172763545","-0.118755912","-0.071000724"," 0.2066265397","-0.1492029154"," 0.224928123"," 0.280564600"," 0.3208271429"," 0.3275230616"," 0.310505472"," 0.093391816","-1.161632e-01"," 0.0594554512","-0.1203595682"," 0.08544924","-7.036665e-02"," 0.283856062","-0.0376191351","-0.025476819"," 0.018921039"," 3.162345e-01"," 0.526250063"," 0.48349472"," 0.447696388"," 0.0154288153"," 0.0208927659"," 0.3191209271"," 0.1380406109"," 0.442219904","-0.110225793","-0.0446834654"," 0.018623237","-5.350572e-02"," 0.1216547539"," 0.058744093"," 0.103553452","-0.130633162","-0.201830210","-0.11145507","-0.073607893","-0.190576394"," 0.206287087","-0.149221172"," 0.280301680"," 0.3219011692"," 0.311066777"," 0.092982760"," 0.0588245089","-0.121106726"," 0.08578761"," 0.284732608"," 0.3542170315"," 0.278502502"," 0.361347392","-0.0980681181"," 0.299778134"," 0.0741940061"," 0.493377128"," 0.274281378"," 0.315363697"," 0.432277692"," 0.267028999"
